State	StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	Collected.By	X	X.1	Species	Subphylum	Genus	Region
194	Indiana	yHQL167	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	39.640228, -86.170205	39.640228	-86.170205	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungus	NA	AH2	a	YHQL_AH2	10	591 Watterson Ct, Indianapolis, IN 46217	Amanda Hulfachor	TRUE	yHQL167	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
195	Indiana	yHQL72	Pichia fermentans	Pichia	Ascomycota	39.640228, -86.170205	39.640228	-86.170205	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungus	NA	AH4	a	YHQL_AH4	30	591 Watterson Ct, Indianapolis, IN 46217	Amanda Hulfachor	TRUE	yHQL72	Pichia fermentans	Saccharomycotina	Pichia	Ohio Valley
196	Iowa	yHMJ107	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Soil	Soil/Plant Matter	Soil/Plant Matter	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	21	c	YHMJ_21	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ107	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
197	Iowa	yHMJ116	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Moss	Moss	NA	NA	NA	NA	Unknown	Unknown	Moss	NA	NA	26	b	YHMJ_26	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ116	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
198	Iowa	yHMJ108	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	22	a	YHMJ_22	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ108	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
201	Iowa	yHMJ88	Mrakia blollopsis	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Fruit/Leaves	Buckthorn Berry	Rhamnaceae	Berry	NA	Rhamnus	Rhamnus cathartica	Buckthorn	NA	NA	14	c	YHMJ_14	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ88	Mrakia blollopis	Basidiomycota	Mrakia	Upper Midwest
202	Iowa	yHMJ102	Debaromyces hansenii	Debaromyces	Ascomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Moss	Moss	NA	NA	NA	NA	Quercus	Quercus palustris	Pin Oak	Moss	NA	19	c	YHMJ_19	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ102	Debaryomyces hansenii	Saccharomycotina	Debaryomyces	Upper Midwest
203	Iowa	yHMJ109	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	22	b	YHMJ_22	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ109	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
204	Iowa	yHMJ111	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Ailanthus	Ailanthus altissima	Tree of Heaven	NA	NA	23	c	YHMJ_23	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ111	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
205	Iowa	yHMJ28	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	b	YHMJ_15	22	Decorah, IA ice caves	martin jarzyna	TRUE	yHMJ28	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces	Upper Midwest
206	Iowa	yHMJ132	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Abies	Abies balsamea	Balsam Fir	NA	NA	12	b	YHMJ_12	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ132	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
207	Iowa	yHMJ154	Cystofilobasidium sp.	Cystofilobasidium	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Amelanchier	Amelanchier interior	Service berry	NA	NA	21	b	YHMJ_21	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ154	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
208	Iowa	yHMJ27	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	a	YHMJ_15	22	Decorah, IA ice caves	martin jarzyna	TRUE	yHMJ27	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces	Upper Midwest
209	Iowa	yHMJ135	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Tilia	Tilia americana	American Basswood	NA	NA	13	b	YHMJ_13	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ135	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
210	Iowa	yHMJ136	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Tilia	Tilia americana	American Basswood	NA	NA	13	c	YHMJ_13	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ136	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
211	Iowa	yHMJ137	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Tilia	Tilia americana	American Basswood	NA	NA	13	d	YHMJ_13	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ137	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
212	Iowa	yHMJ134	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Tilia	Tilia americana	American Basswood	NA	NA	13	a	YHMJ_13	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ134	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
213	Iowa	yHMJ120	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Ailanthus	Ailanthus altissima	Tree of Heaven	NA	NA	23	b	YHMJ_23	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ120	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
214	Iowa	yHMJ141	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	c	YHMJ_15	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ141	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
215	Iowa	yHMJ146	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Eastern Red Cedar	NA	NA	16	d	YHMJ_16	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ146	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
216	Iowa	yHMJ138	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Fruit/Leaves	Buckthorn Berry	Rhamnaceae	Berry	NA	Rhamnus	Rhamnus cathartica	Buckthorn	NA	NA	14	a	YHMJ_14	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ138	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
217	Iowa	yHMJ157	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Soil	Soil/Plant Matter	Soil/Plant Matter	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	21	e	YHMJ_21	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ157	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
218	Iowa	yHMJ170	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Fungus	NA	NA	24	c	YHMJ_24	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ170	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
219	Iowa	yHMJ171	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Fungus	NA	NA	24	d	YHMJ_24	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ171	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
220	Iowa	yHMJ172	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Fungus	NA	NA	24	e	YHMJ_24	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ172	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
221	Iowa	yHMJ173	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	25	a	YHMJ_25	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ173	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
222	Iowa	yHMJ174	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	25	b	YHMJ_25	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ174	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
223	Iowa	yHMJ178	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	25	d	YHMJ_25	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ178	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
224	Iowa	yHMJ179	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Abies	Abies balsamea	Balsam Fir	NA	NA	12	d	YHMJ_12	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ179	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
225	Iowa	yHMJ180	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Fruit/Leaves	Buckthorn Berry	Rhamnaceae	Berry	NA	Rhamnus	Rhamnus cathartica	Buckthorn	NA	NA	14	b	YHMJ_14	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ180	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
226	Iowa	yHMJ140	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	b	YHMJ_15	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ140	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
227	Iowa	yHMJ76	Mrakia sp.	Mrakia	Basidiomycota	44.997282, -93.354812 	44.997282	-93.354812	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	a	YHMJ_11	10	decorah, ia ice caves	martin jarzyna	TRUE	yHMJ76	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
228	Iowa	yHMJ79	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Abies	Abies balsamea	Balsam Fir	NA	NA	12	b	YHMJ_12	10	Decorah, IA ice caves	martin jarzyna	TRUE	yHMJ79	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
229	Iowa	yHMJ81	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Abies	Abies balsamea	Balsam Fir	NA	NA	12	d	YHMJ_12	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ81	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
230	Iowa	yHMJ86	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Fruit/Leaves	Buckthorn Berry	Rhamnaceae	Berry	NA	Rhamnus	Rhamnus cathartica	Buckthorn	NA	NA	14	a	YHMJ_14	10	decorah, ia ice caves	martin jarzyna	TRUE	yHMJ86	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
231	Iowa	yHMJ87	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Fruit/Leaves	Buckthorn Berry	Rhamnaceae	Berry	NA	Rhamnus	Rhamnus cathartica	Buckthorn	NA	NA	14	b	YHMJ_14	10	decorah, ia ice caves	martin jarzyna	TRUE	yHMJ87	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
232	Iowa	yHMJ92	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Eastern Red Cedar	NA	NA	16	b	YHMJ_16	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ92	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
233	Iowa	yHMJ99	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Bark	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	18	a	YHMJ_18	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ99	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
234	Iowa	yHKB340	Candida railenensis	Candida	Ascomycota	42.1872,-93.5956	42.1872	-93.5956	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT6	a	YHKB_RT6	22	Story City, IA	Kelly Buh	TRUE	yHKB340	Candida railenensis	Saccharomycotina	Candida	Upper Midwest
235	Iowa	yHMJ117	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Moss	Moss	NA	NA	NA	NA	Unknown	Unknown	Moss	NA	NA	26	c	YHMJ_26	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ117	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
236	Iowa	yHMJ82	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Abies	Abies balsamea	Balsam Fir	NA	NA	12	e	YHMJ_12	10	Decorah, IA ice caves	martin jarzyna	TRUE	yHMJ82	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
237	Iowa	yHMJ103	Mrakia gelida	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Amelanchier	Amelanchier sp.	Amelanchier sp.	NA	NA	20	a	YHMJ_20	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ103	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
239	Iowa	yHMJ181	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	NA	NA	15	e	YHMJ_15	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ181	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
240	Iowa	yHMJ115	Mrakia gelida	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Moss	Moss	NA	NA	NA	NA	Unknown	Unknown	Moss	NA	NA	26	a	YHMJ_26	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ115	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
241	Iowa	yHMJ126	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	a	YHMJ_11	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ126	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
242	Iowa	yHMJ151	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Amelanchier	Amelanchier interior	Service berry	NA	NA	20	b	YHMJ_20	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ151	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
243	Iowa	yHMJ156	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Soil	Soil/Plant Matter	Soil/Plant Matter	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	21	d	YHMJ_21	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ156	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
244	Iowa	yHMJ168	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Fungus	NA	NA	24	a	YHMJ_24	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ168	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
246	Iowa	yHMJ90	Mrakia gelida	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	b	YHMJ_15	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ90	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
247	Iowa	yHMJ93	Mrakia gelida	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Eastern Red Cedar	NA	NA	16	c	YHMJ_16	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ93	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
248	Iowa	yHMJ84	Mrakia gelida	Mrakia	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Tilia	Tilia americana	American Basswood	NA	NA	13	b	YHMJ_13	10	decorah, ia ice caves	martin jarzyna	TRUE	yHMJ84	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
249	Iowa	yHKB424	Candida sake	Candida	Ascomycota	42.1872,-93.5956	42.1872	-93.5956	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT6	a	YHKB_RT6	10	Story City, IA	Kelly Buh	TRUE	yHKB424	Candida sake	Saccharomycotina	Candida	Upper Midwest
250	Iowa	yHMJ83	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Tilia	Tilia americana	American Basswood	NA	NA	13	a	YHMJ_13	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ83	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
251	Iowa	yHMJ85	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Tilia	Tilia americana	American Basswood	NA	NA	13	c	YHMJ_13	10	decorah, IA ice caves	martin jarzyna	TRUE	yHMJ85	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
252	Iowa	yHMJ89	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	a	YHMJ_15	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ89	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
253	Iowa	yHMJ91	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281	43.312305	-91.781281	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Red Cedar	NA	NA	16	a	YHMJ_16	10	Decorah, IA Ice caves	Martin Jarzyna	TRUE	yHMJ91	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
254	Iowa	yHMJ94	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Eastern Red Cedar	NA	NA	16	d	YHMJ_16	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ94	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
255	Iowa	yHMJ95	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Eastern Red Cedar	NA	NA	16	e	YHMJ_16	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ95	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
256	Iowa	yHMJ148	Mrakia sp.	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Eastern Red Cedar	NA	NA	16	f	YHMJ_16	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ148	Mrakia sp.	Basidiomycota	Mrakia	Upper Midwest
257	Iowa	yHMJ97	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281  	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Eastern Red Cedar	NA	NA	16	h	YHMJ_16	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ97	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
258	Iowa	yHKB338	Candida sake	Candida	Ascomycota	42.1872,-93.5956	42.1872	-93.5956	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	RT2	b	YHKB_RT2	22	Story City, IA	Kelly Buh	TRUE	yHKB338	Candida sake	Saccharomycotina	Candida	Upper Midwest
259	Iowa	yHKB439	Mrakia gelida	Mrakia	Basidiomycota	42.1872,-93.5956	42.1872	-93.5956	Plant	Plant Matter	Fruit	Berry	Unknown	Unknown	NA	Unknown	Unknown	Unknown	NA	NA	RT4	b	YHKB_RT4	10	Story City, IA	Kelly Buh	TRUE	yHKB439	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
260	Iowa	yHKB337	Candida railenensis	Candida	Ascomycota	42.1872,-93.5956	42.1872	-93.5956	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT6	b	YHKB_RT6	22	Story City, IA	Kelly Buh	TRUE	yHKB337	Candida railenensis	Saccharomycotina	Candida	Upper Midwest
261	Iowa	yHKB427	Candida sake	Candida	Ascomycota	42.1872,-93.5956	42.1872	-93.5956	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	RT2	b	YHKB_RT2	10	Story City, IA	Kelly Buh	TRUE	yHKB427	Candida sake	Saccharomycotina	Candida	Upper Midwest
262	Iowa	yHMJ98	Mrakia gelida	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Prunus	Prunus virginiana	Chokecherry	NA	NA	17	a	YHMJ_17	10	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ98	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
263	Iowa	yHKB425	Candida sake	Candida	Ascomycota	42.1872,-93.5956	42.1872	-93.5956	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT6	b	YHKB_RT6	10	Story City, IA	Kelly Buh	TRUE	yHKB425	Candida sake	Saccharomycotina	Candida	Upper Midwest
264	Iowa	yHMJ78	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Abies	Abies balsamea	Balsam Fir	NA	NA	12	a	YHMJ_12	10	Decorah, IA ice caves	martin jarzyna	TRUE	yHMJ78	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Upper Midwest
265	Iowa	yHMJ145	Mrakia gelida	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Eastern Red Cedar	NA	NA	16	c	YHMJ_16	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ145	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
266	Iowa	yHKB428	Candida sake	Candida	Ascomycota	42.1872,-93.5956	42.1872	-93.5956	Soil	Soil/Plant Matter	Soil/Plant Matter	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT3	a	YHKB_RT3	10	Story City, IA	Kelly Buh	TRUE	yHKB428	Candida sake	Saccharomycotina	Candida	Upper Midwest
268	Iowa	yHMJ128	Mrakia gelida	Mrakia	Basidiomycota	43.312305, -91.781281 	43.312305	-91.781281	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	c	YHMJ_11	4	Decorah, IA ice caves	Martin Jarzyna	TRUE	yHMJ128	Mrakia gelida	Basidiomycota	Mrakia	Upper Midwest
