Collection	Number	StrainID							Sample Type	Max Score	Total Score	Query Coverage	Evalue	Max Identity	Accession Number (ITS)	Accession Number (D1D2)			
yHKS	81	yHKS81							Bark	962	962	100%	0.0	99%	KM384375				
yHKS	120	yHKS120							Soil	998	998	100%	0.0	99%	KM384376				
yHKS	207	yHKS207							Soil	879	879	100%	0.0	99%	KM384377				
yHKS	208	yHKS208							Bark	919	919	100%	0.0	99%	KM384378				
yHKS	216	yHKS216							Soil	1027	1027	100%	0.0	99%	KM384379				
yHKS	272	yHKS272							Bark	1012	1012	100%	0.0	99%	KM384380				
yHKS	274	yHKS274							Soil	987	987	100%	0.0	99%	KM384381				
yHKS	276	yHKS276							Moss	1005	1005	99%	0.0	99%	KM384382				
yHKS	277	yHKS277							Soil	971	971	100%	0.0	99%	KM384383				
yHKS	278	yHKS278							Bark	928	928	100%	0.0	99%	KM384384				
yHKS	288	yHKS288							Soil	1003	1003	100%	0.0	99%	KM384385				
yHKS	289	yHKS289							Soil	991	991	100%	0.0	99%	KM384386				
yHKS	290	yHKS290							Soil	969	969	100%	0.0	99%	KM384387				
yHKS	291	yHKS291							Soil	984	984	100%	0.0	99%	KM384388				
yHKS	292	yHKS292							Soil	975	975	100%	0.0	99%	KM384389				
yHKS	293	yHKS293							Soil	600	600	100%	4.00E-168	99%	KM384390				
yHKS	294	yHKS294							Soil	921	921	100%	0.0	99%	KM384391				
yHKS	295	yHKS295							Soil	919	919	100%	0.0	99%	KM384392				
yHKS	377	yHKS377							Soil	984	984	100%	0.0	99%	KM384393				
yHKS	382	yHKS382							Orange fuzzy growth	1018	1018	99%	0.0	99%	KM384394				
yHRM	22	yHRM22							Leaves	998	998	100%	0.0	99%	KM384395				
yHRM	32	yHRM32							Soil	998	998	100%	0.0	99%	KM384396				
yHRM	47	yHRM47							Soil	984	984	100%	0.0	99%	KM384397				
yHAB	232	yHAB232							Mushroom	989	989	99%	0.0	99%	KM384398				
yHAB	238	yHAB238							Soil	1003	1003	100%	0.0	99%	KM384399				
yHAB	245	yHAB245							Soil	989	989	99%	0.0	99%	KM384400				
yHAB	255	yHAB255							Soil	1014	1014	100%	0.0	100%	KM384401				
yHKS	21	yHKS21							 Leaves	1011	1011	99%	0.0	99%	KM384402				
yHKS	23	yHKS23							 Leaves	1011	1011	99%	0.0	99%	KM384403				
yHKS	25	yHKS25							Leaves	1009	1009	100%	0.0	99%	KM384404				
yHKS	34	yHKS34							Bark/Soil	962	962	100%	0.0	99%	KM384405				
yHKS	35	yHKS35							Bark	939	939	100%	0.0	99%	KM384406				
yHKS	38	yHKS38							 Leaves	978	978	100%	0.0	99%	KM384407				
yHKS	52	yHKS52							 Leaves	737	737	100%	0.0	99%	KM384408				
yHAB	227	yHAB227							Soil	1012	1012	100%	0.0	100%	KM384409				
yHAB	233	yHAB233							Soil	1009	1009	100%	0.0	99%	KM384410				
yHAB	234	yHAB234							Rotting Bark	1016	1016	100%	0.0	100%	KM384411				
yHAB	237	yHAB237							Pine Cone	1014	1014	100%	0.0	100%	KM384412				
yHAB	248	yHAB248							Soil	1027	1027	100%	0.0	100%	KM384413				
yHAB	249	yHAB249							Bark	1014	1014	100%	0.0	100%	KM384414				
yHAB	250	yHAB250							Soil	1016	1016	100%	0.0	100%	KM384415				
yHAB	251	yHAB251							Soil	1014	1014	100%	0.0	100%	KM384416				
yHAB	252	yHAB252							Soil	1027	1027	100%	0.0	100%	KM384417				
yHAB	253	yHAB253							Soil	1011	1011	100%	0.0	99%	KM384418				
yHAB	254	yHAB254							Soil	1005	1005	100%	0.0	100%	KM384419				
yHKS	118	yHKS118							Bark	1009	1009	100%	0.0	100%	KM384420				
yHKS	119	yHKS119							 Leaves	955	955	100%	0.0	100%	KM384421				
yHKS	214	yHKS214							Bark	915	915	100%	0.0	99%	KM384422				
yHKS	269	yHKS269							 Leaves	1050	1050	100%	0.0	100%	KM384423				
yHKS	282	yHKS282							Dried Fruit	928	928	99%	0.0	99%	KM384424				
yHKS	373	yHKS373							Soil	935	935	100%	0.0	99%	KM384425				
yHRM	23	yHRM23							Soil	1005	1005	100%	0.0	99%	KM384426				
yHRM	26	yHRM26							Soil	1009	1009	100%	0.0	100%	KM384427				
yHRM	27	yHRM27							Moss	1011	1011	100%	0.0	100%	KM384428				
yHRM	28	yHRM28							Soil	1014	1014	100%	0.0	100%	KM384429				
yHKS	275	yHKS275							Soil	1011	1011	99%	0.0	99%	KM384430				
yHKS	40	yHKS40							Bark	955	955	99%	0.0	98%	KM384431				
yHKS	122	yHKS122							Soil	1002	1002	99%	0.0	99%	KM384432				
yHAB	197	yHAB197							Pine Cone	1005	1005	100%	0.0	100%	KM384433				
yHAB	201	yHAB201							Rotting Bark	1016	1016	100%	0.0	99%	KM384434				
yHKS	220	yHKS220							 Leaves	1020	1020	100%	0.0	99%	KM384435				
yHKS	242	yHKS242							 Leaves	1016	1016	100%	0.0	99%	KM384436				
yHKS	305	yHKS305							Bark	924	924	100%	0.0	99%	KM384437				
yHKS	322	yHKS322							Bark	982	982	100%	0.0	100%	KM384438				
yHKS	393	yHKS393							Bark	1016	1016	100%	0.0	99%	KM384439				
yHKS	425	yHKS425							Soil	1018	1018	100%	0.0	99%	KM384440				
yHKS	403	yHKS403							Soil	740	740	100%	0.0	99%	KM384444				
yHKS	419	yHKS419							Soil	758	758	100%	0.0	100%	KM384445				
yHKS	18	yHKS18							Bark/Soil	684	684	99%	0.0	84%	KM384441	KM408133			
yHKS	236	yHKS236							Bark (Bottom)	605	605	95%	1.00E-169	87%	KM384443	KM408137			
yHRM	54	yHRM54							Grass	980	980	100%	0.0	99%	KM384446				
yHKS	152	yHKS152							Soil	495	495	96%	1.00E-136	98%	KM384449				
yHAB	178	yHAB178							Sand	944	944	100%	0.0	99%	KM384450				
yHAB	246	yHAB246							White Rot on Bark	955	955	100%	0.0	100%	KM384451				
yHAB	259	yHAB259							Sand	953	953	100%	0.0	99%	KM384452				
yHAB	260	yHAB260							Driftwood	951	951	100%	0.0	99%	KM384453				
yHAB	261	yHAB261							Sawdust	948	948	100%	0.0	99%	KM384454				
yHAB	221	yHAB221							Leaves with Eggs	948	948	100%	0.0	100%	KM384455				
yHKS	215	yHKS215							Soil	971	971	100%	0.0	99%	KM384456				
yHKS	259	yHKS259							Soil	960	960	100%	0.0	99%	KM384457				
yHKS	287	yHKS287							Bark	691	691	100%	0.0	99%	KM384458				
yHKS	336	yHKS336							 Leaves	765	765	100%	0.0	100%	KM384459				
yHKS	337	yHKS337							Bark	908	908	100%	0.0	99%	KM384460				
yHKS	417	yHKS417							Bark	946	946	99%	0.0	99%	KM384461				
yHRM	38	yHRM38							Leaves	940	940	100%	0.0	100%	KM384462				
yHAB	220	yHAB220							Leaves	960	960	100%	0.0	100%	KM384463				
yHAB	222	yHAB222							Raspberries	953	953	100%	0.0	99%	KM384464				
yHAB	263	yHAB263							Pine Cone	964	964	100%	0.0	100%	KM384465				
yHKS	432	yHKS432							Leaves 	921	921	100%	0.0	99%	KM384466				
yHKS	464	yHKS464							Leaves 	955	955	100%	0.0	99%	KM384467				
yHKS	241	yHKS241							 Leaves	940	940	99%	0.0	99%	KM384468				
yHKS	243	yHKS243							 Leaves	969	969	99%	0.0	99%	KM384469				
yHKS	262	yHKS262							 Leaves	971	971	100%	0.0	99%	KM384470				
yHKS	284	yHKS284							 Leaves	971	971	99%	0.0	99%	KM384471				
yHRM	9	yHRM9							Soil	830	830	100%	0.0	99%	KM384472				
yHRM	25	yHRM25							Soil	958	958	100%	0.0	100%	KM384473				
yHRM	35	yHRM35							Leaves	960	960	100%	0.0	100%	KM384474				
yHKS	210	yHKS210							Bark	1229	1229	100%	0.0	100%	KM384475				
yHKS	211	yHKS211							Bark	1144	1144	100%	0.0	99%	KM384476				
yHKS	212	yHKS212							Bark	1121	1121	100%	0.0	99%	KM384477				
yHAB	204	yHAB204							Soil	1352	1352	100%	0.0	99%	KM384478				
yHBJ	1	yHBJ1							Bark (Decaying)	1276	1276	100%	0.0	99%	KM384479				
yHBJ	5	yHBJ5							Soil	1151	1151	100%	0.0	99%	KM384480				
yHBJ	6	yHBJ6							Mushroom	1151	1151	100%	0.0	99%	KM384481				
yHBJ	9	yHBJ9							Acorn	902	902	100%	0.0	99%	KM384482				
yHBJ	11	yHBJ11							Soil	1113	1113	100%	0.0	99%	KM384483				
yHBJ	12	yHBJ12							Soil	1135	1135	99%	0.0	100%	KM384484				
yHBJ	16	yHBJ16							Soil	985	985	100%	0.0	99%	KM384485				
yHBJ	17	yHBJ17							Bark	1247	1247	100%	0.0	99%	KM384486				
yHBJ	23	yHBJ23							Soil	1225	1225	100%	0.0	99%	KM384487				
yHBJ	24	yHBJ24							Bark (Decaying)	1315	1315	100%	0.0	99%	KM384488				
yHKS	5	yHKS5							Bark	1344	1344	100%	0.0	99%	KM384489				
yHKS	10	yHKS10							 Leaves	1276	1276	99%	0.0	99%	KM384490				
yHKS	54	yHKS54							Soil	663	663	100%	0.0	99%	KM384491				
yHKS	58	yHKS58							Soil	1223	1223	100%	0.0	99%	KM384492				
yHKS	69	yHKS69							Soil	969	969	100%	0.0	99%	KM384493				
yHKS	71	yHKS71							Soil	1021	1021	100%	0.0	99%	KM384494				
yHKS	145	yHKS145							Bark	1366	1366	100%	0.0	99%	KM384495				
yHKS	147	yHKS147							Soil	930	930	100%	0.0	99%	KM384496				
yHKS	157	yHKS157							Bark	1362	1362	100%	0.0	99%	KM384497				
yHKS	172	yHKS172							Bark	1370	1370	100%	0.0	100%	KM384498				
yHKS	175	yHKS175							Soil	1371	1371	99%	0.0	99%	KM384499				
yHKS	182	yHKS182							 Sand	1344	1344	100%	0.0	99%	KM384500				
yHKS	183	yHKS183							Bark	1346	1346	99%	0.0	99%	KM384501				
yHKS	223	yHKS223							Soil	1299	1299	100%	0.0	99%	KM384502				
yHKS	224	yHKS224							Soil	1254	1254	100%	0.0	99%	KM384503				
yHKS	225	yHKS225							Soil	1362	1362	100%	0.0	99%	KM384504				
yHKS	226	yHKS226							Soil	1357	1357	100%	0.0	99%	KM384505				
yHKS	246	yHKS246							Soil	1380	1380	100%	0.0	99%	KM384506				
yHKS	248	yHKS248							Soil	1377	1377	99%	0.0	99%	KM384507				
yHKS	253	yHKS253							Soil	1375	1375	99%	0.0	99%	KM384508				
yHKS	254	yHKS254							Soil	1373	1373	99%	0.0	99%	KM384509				
yHKS	267	yHKS267							Soil	1333	1333	100%	0.0	99%	KM384510				
yHKS	306	yHKS306							Soil	1342	1342	100%	0.0	99%	KM384511				
yHKS	320	yHKS320							Bark	1375	1375	100%	0.0	99%	KM384512				
yHKS	331	yHKS331							Soil	1196	1196	100%	0.0	99%	KM384513				
yHKS	339	yHKS339							Soil	1218	1218	100%	0.0	99%	KM384514				
yHKS	341	yHKS341							Soil	1213	1213	99%	0.0	100%	KM384515				
yHKS	343	yHKS343							Soil	1196	1196	100%	0.0	100%	KM384516				
yHKS	344	yHKS344							Soil	728	728	98%	0.0	99%	KM384517				
yHKS	402	yHKS402							Soil	1290	1290	99%	0.0	99%	KM384518				
yHKS	414	yHKS414							Bark	1384	1384	100%	0.0	99%	KM384519				
yHKS	421	yHKS421							Soil	1227	1227	100%	0.0	99%	KM384520				
yHRM	48	yHRM48							Soil	1294	1294	100%	0.0	99%	KM384521				
yHRM	69	yHRM69							Soil	1231	1232	100%	0.0	99%	KM384522				
yHRM	71	yHRM71							Soil	1236	1236	100%	0.0	100%	KM384523				
yHRM	73	yHRM73							Soil	1164	1164	100%	0.0	100%	KM384524				
yHKS	390	yHKS390							Bark	421	421	95%	3.00E-114	84%	KM384525	KM408141			
yHRM	58	yHRM58							Soil	852	852	100%	0.0	100%	KM384526				
yHKS	324	yHKS324							Diseased Bark	933	933	100%	0.0	99%	KM384527				
yHAB	210	yHAB210							Rotting Bark	964	964	100%	0.0	100%	KM384528				
yHAB	214	yHAB214							Rotting Bark	1003	1003	100%	0.0	99%	KM384529				
yHKS	369	yHKS369							Diseased Bark	1007	1007	100%	0.0	100%	KM384530				
yHKS	372	yHKS372							Rotting Bark	684	684	100%	0.0	100%	KM384531				
yHKS	389	yHKS389							Diseased Bark	1016	1016	100%	0.0	99%	KM384532				
yHKS	391	yHKS391							Bark	1018	1018	100%	0.0	99%	KM384533				
yHKS	394	yHKS394							Rotting bark	1027	1027	99%	0.0	99%	KM384534				
yHAB	183	yHAB183							Soil	1005	1005	100%	0.0	99%	KM384535				
yHKS	15	yHKS15							Bark	1090	1090	100%	0.0	99%	KM384536				
yHKS	315	yHKS315							Fungal (Woodlike) growth   	859	859	97%	0.0	100%	KM384537				
yHKS	221	yHKS221							Soil	237	237	91%	2.00E-59	97%	KM384538	KM408136			
yHAB	188	yHAB188							Soil	1312	3937	100%	0.0	100%	KM384540				
yHAB	200	yHAB200							Soil	1213	1213	100%	0.0	99%	KM384541				
yHAB	207	yHAB207							Soil	1299	3899	100%	0.0	100%	KM384542				
yHAB	211	yHAB211							Soil	1301	3904	100%	0.0	99%	KM384543				
yHBJ	4	yHBJ4							Mushroom	998	998	100%	0.0	100%	KM384544				
yHKS	8	yHKS8							 Leaves	1123	4579	100%	0.0	99%	KM384545				
yHKS	9	yHKS9							Bark	1299	3899	100%	0.0	100%	KM384546				
yHKS	44	yHKS44							Bark	1314	3942	99%	0.0	100%	KM384547				
yHKS	45	yHKS45							Bark	1287	3861	100%	0.0	99%	KM384548				
yHKS	48	yHKS48							Soil	1315	1315	100%	0.0	100%	KM384549				
yHKS	83	yHKS83							Bark	960	960	100%	0.0	99%	KM384550				
yHKS	90	yHKS90							Soil	1119	3358	100%	0.0	99%	KM384551				
yHKS	91	yHKS91							Bark	948	948	100%	0.0	100%	KM384552				
yHKS	94	yHKS94							Soil	1148	1148	100%	0.0	99%	KM384553				
yHKS	110	yHKS110							Soil	1220	3661	100%	0.0	99%	KM384554				
yHKS	131	yHKS131							Soil	1090	1090	100%	0.0	99%	KM384555				
yHKS	133	yHKS133							Bark	661	661	100%	0.0	97%	KM384556				
yHKS	134	yHKS134							Bark	888	888	100%	0.0	98%	KM384557				
yHKS	136	yHKS136							Bark	1301	3904	100%	0.0	99%	KM384558				
yHKS	137	yHKS137							Soil	1315	1315	100%	0.0	100%	KM384559				
yHKS	138	yHKS138							Bark	1308	3926	100%	0.0	100%	KM384560				
yHKS	142	yHKS142							Bark	1315	1315	99%	0.0	100%	KM384561				
yHKS	144	yHKS144							Green Berries	310	3931	100%	0.0	100%	KM384562				
yHKS	165	yHKS165							Bark 	1321	1321	99%	0.0	100%	KM384563				
yHKS	166	yHKS166							Soil	1314	1314	99%	0.0	100%	KM384564				
yHKS	171	yHKS171							Bark	1308	3926	100%	0.0	100%	KM384565				
yHKS	174	yHKS174							 Sand	1308	3926	100%	0.0	100%	KM384566				
yHKS	185	yHKS185							Unknown	1310	1310	100%	0.0	99%	KM384567				
yHKS	189	yHKS189							Soil	1301	3904	100%	0.0	100%	KM384568				
yHKS	217	yHKS217							Soil	1317	3953	100%	0.0	99%	KM384569				
yHKS	237	yHKS237							Soil	121	3845	100%	0.0	100%	KM384570				
yHKS	249	yHKS249							Soil	1317	3953	100%	0.0	100%	KM384571				
yHKS	252	yHKS252							Soil	1285	3855	100%	0.0	99%	KM384572				
yHKS	255	yHKS255							Soil	1249	1249	100%	0.0	99%	KM384573				
yHKS	265	yHKS265							Soil	1315	1315	100%	0.0	99%	KM384574				
yHKS	304	yHKS304							Soil	1267	3801	100%	0.0	100%	KM384575				
yHKS	307	yHKS307							Soil	1308	3926	100%	0.0	100%	KM384576				
yHKS	311	yHKS311							Soil	1281	3845	100%	0.0	99%	KM384577				
yHKS	312	yHKS312							Soil	1278	3834	100%	0.0	100%	KM384578				
yHKS	313	yHKS313							Soil	1299	3899	100%	0.0	100%	KM384579				
yHKS	319	yHKS319							Bark	1288	3866	100%	0.0	100%	KM384580				
yHKS	326	yHKS326							Bark	1308	3926	100%	0.0	100%	KM384581				
yHKS	340	yHKS340							Soil	1040	1041	100%	0.0	99%	KM384582				
yHKS	345	yHKS345							Soil	908	908	100%	0.0	100%	KM384583				
yHKS	350	yHKS350							Soil	1047	1047	100%	0.0	100%	KM384584				
yHKS	351	yHKS351							Soil	1003	1003	100%	0.0	99%	KM384585				
yHKS	352	yHKS352							Soil	1012	1012	100%	0.0	100%	KM384586				
yHKS	353	yHKS353							Soil	1034	1034	100%	0.0	100%	KM384587				
yHKS	357	yHKS357							Bark	1288	3866	100%	0.0	100%	KM384588				
yHKS	359	yHKS359							Bark	1278	3834	100%	0.0	100%	KM384589				
yHKS	360	yHKS360							Bark	1288	3866	100%	0.0	100%	KM384590				
yHKS	375	yHKS375							Soil	1013	1013	100%	0.0	100%	KM384591				
yHKS	388	yHKS388							Bark	1306	1306	100%	0.0	100%	KM384592				
yHKS	406	yHKS406							Soil	1204	1204	100%	0.0	99%	KM384593				
yHKS	410	yHKS410							Bark	1216	1216	99%	0.0	99%	KM384594				
yHKS	411	yHKS411							Bark	1202	1202	100%	0.0	99%	KM384595				
yHKS	412	yHKS412							Bark	1243	1243	100%	0.0	100%	KM384596				
yHKS	418	yHKS418							Bark	1306	1306	100%	0.0	99%	KM384597				
yHRM	3	yHRM3							Moss	1272	3817	100%	0.0	100%	KM384598				
yHRM	10	yHRM10							Soil	1252	3758	100%	0.0	99%	KM384599				
yHRM	40	yHRM40							Soil	1187	3563	100%	0.0	99%	KM384600				
yHRM	50	yHRM50							Soil	892	892	100%	0.0	100%	KM384601				
yHRM	55	yHRM55							Bark	1243	3731	100%	0.0	100%	KM384602				
yHRM	62	yHRM62							Soil	1232	1232	100%	0.0	100%	KM384603				
yHRM	66	yHRM66							Soil	1272	3817	100%	0.0	100%	KM384604				
yHRM	74	yHRM74							Soil	1242	1242	100%	0.0	100%	KM384605				
yHAB	230	yHAB230							Soil	807	807	100%	1.00E-120	100%	KM384606				
yHBJ	2	yHBJ2							Bark (Decaying)	888	888	100%	0.0	100%	KM384612				
yHBJ	18	yHBJ18							Mushroom	681	681	100%	0.0	100%	KM384613				
yHKS	235	yHKS235							Soil	985	985	100%	0.0	100%	KM384614				
yHKS	397	yHKS397							Soil	966	966	99%	0.0	100%	KM384615				
yHKS	398	yHKS398							Soil	991	991	99%	0.0	100%	KM384616				
yHKS	399	yHKS399							Soil	996	996	99%	0.0	100%	KM384617				
yHKS	400	yHKS400							Soil	942	942	100%	0.0	100%	KM384618				
yHKS	426	yHKS426							Bark	966	966	99%	0.0	100%	KM384619				
yHRM	12	yHRM12							Soil	922	922	100%	0.0	100%	KM384620				
yHRM	29	yHRM29							Soil	984	984	100%	0.0	100%	KM384621				
yHKS	321	yHKS321							Bark	930	930	99%	0.0	99%	KM384622				
yHKS	356	yHKS356							Bark	922	922	100%	0.0	99%	KM384623				
yHAB	187	yHAB187							Soil	888	888	96%	0.0	99%	KM384624				
yHAB	262	yHAB262							Soil	883	883	93%	0.0	99%	KM384625				
																			
																			
